goos:,windows,Core(TM),i7-8565U,CPU,@,1.80GHz,,,NotHonest,,n,,Bls12381,Bn256,Bls12381H,bn256H,,,,,2,4,6,3271029300,0.817757325
goarch:,amd64,3389327100,ns/op,82224864,B/op,1058955,allocs/op,2,0.847331775,4,6,1.129503525,0.847331775,1.04613515,1.129503525,2.651E-10,,,,,4,8,12,13216170400,3.3040426
pkg:,BingoVSS/BingoBls12381,11988215400,ns/op,338995520,B/op,4770619,allocs/op,4,2.99705385,8,12,2.979982075,2.99705385,3.710907425,2.979982075,0.002332265,,,,,6,12,18,33327967200,8.3319918
cpu:,Intel(R),29330624800,ns/op,891678472,B/op,13034394,allocs/op,6,7.3326562,12,18,7.32060825,7.3326562,7.349055075,7.32060825,2.4973343,,,,,8,16,24,71846772500,17.96169313
BenchmarkNotHonestCase/input_size_2-8,1,59671223300,ns/op,1856923920,B/op,27720762,allocs/op,8,14.91780583,16,24,14.8102302,14.91780583,12.98397483,14.8102302,5.2572001,,,,,10,20,30,1.05893E+11,26.47318005
BenchmarkNotHonestCase/input_size_4-8,1,1.06705E+11,ns/op,3351965880,B/op,50705310,allocs/op,10,26.67619758,20,30,26.50891518,26.67619758,21.01086668,26.50891518,8.3723375,,,,,12,24,36,1.49324E+11,37.331068
BenchmarkNotHonestCase/input_size_6-8,1,1.75909E+11,ns/op,5495297608,B/op,83902113,allocs/op,12,43.97736708,24,36,43.970151,43.97736708,32.18030393,43.970151,12.7249258,,,,,14,28,42,2.27873E+11,56.96833205
BenchmarkNotHonestCase/input_size_8-8,1,2.62185E+11,ns/op,8404495896,B/op,129208239,allocs/op,14,65.54619178,28,42,66.09711755,65.54619178,46.03046705,66.09711755,19.2425197,,,,,16,32,48,3.16991E+11,79.24778783
BenchmarkNotHonestCase/input_size_10-8,1,3.78687E+11,ns/op,12203286440,B/op,188578254,allocs/op,16,94.6717398,32,48,94.14945485,94.6717398,63.7648254,94.14945485,27.909562,,,,,18,36,54,4.10223E+11,102.5557629
BenchmarkNotHonestCase/input_size_12-8,1,5.29559E+11,ns/op,17011005064,B/op,263947921,allocs/op,18,132.3897234,36,54,132.4105545,132.3897234,87.80825345,132.4105545,38.6686715,,,,,20,40,60,5.24315E+11,131.0786851
BenchmarkNotHonestCase/input_size_14-8,1,6.928E+11,ns/op,22958148064,B/op,357315176,allocs/op,20,173.2000736,40,60,173.0924984,173.2000736,114.7251587,173.0924984,51.8949386,,,,,22,44,66,6.61257E+11,165.314356
BenchmarkNotHonestCase/input_size_16-8,1,,,,,,,,,,,,,,,,,,,,24,48,72,8.36242E+11,209.0604328
BenchmarkNotHonestCase/input_size_18-8,1,,,,,,,,,,,,,,,,,,,,26,52,78,1.02516E+12,256.2900311
BenchmarkNotHonestCase/input_size_20-8,1,,,,,,,,,,,,,,,,,,,,28,56,84,1.23556E+12,308.8897168
PASS,,,,,,,,,,,,,,,,,,,,,30,60,90,1.48556E+12,371.3908765
ok,BingoVSS/BingoBls12381,2250.539s,,,,,,,,,,,,,,,,,,,32,64,96,1.75991E+12,397.9845426
,,,,,,,,,,,,,,,,,,,,,34,68,102,1.59194E+12,404.3271467
,,,,,,,,,,,,,,,,,,,,,36,72,108,1.68473E+12,421.0327986
,,,,,,,,,,,,,,,,,,,,,38,76,114,1.68413E+12,421.1827311
,,,,,,,,,,,,,,,,,,,,,40,80,120,1.61731E+12,439.9777619
,,,,,,,,,,,,,,,,,,,,,42,84,126,1.85254E+12,463.1344107
