cpu:,Intel(R),Core(TM),i7-8565U,CPU,@,1.80GHz,,,f,,First Run,seconds,n,Second Run,2f,NotHonest,Third Run,seconds,
BenchmarkHonestCase/input_size_2-8,1000000000,0.2781,ns/op,0,B/op,0,allocs/op,,2,0.2781,2.781E-10,0.2651,6,2.651E-10,4,1.2691365,5104079300,1.276019825,
BenchmarkHonestCase/input_size_4-8,1939,699322,ns/op,13282,B/op,183,allocs/op,,4,699322,0.000699322,2332265,12,0.002332265,8,4.644073925,15392494700,3.848123675,
BenchmarkHonestCase/input_size_6-8,1,3415368000,ns/op,60656816,B/op,900862,allocs/op,,6,3415368000,3.415368,2497334300,18,2.4973343,12,9.64596525,44450089100,11.11252228,
BenchmarkHonestCase/input_size_8-8,1,4711855500,ns/op,118465632,B/op,1841450,allocs/op,,8,4711855500,4.7118555,5257200100,24,5.2572001,16,21.1672717,90951958200,22.73798955,
BenchmarkHonestCase/input_size_10-8,1,8037670900,ns/op,205205896,B/op,3293736,allocs/op,,10,8037670900,8.0376709,8372337500,30,8.3723375,20,28.24845708,1.45203E+11,36.30078198,
BenchmarkHonestCase/input_size_12-8,1,16051682700,ns/op,327600328,B/op,5382174,allocs/op,,12,16051682700,16.0516827,12724925800,36,12.7249258,24,44.43040035,2.3317E+11,58.29259718,
BenchmarkHonestCase/input_size_14-8,1,19985281500,ns/op,491910712,B/op,8231599,allocs/op,,14,19985281500,19.9852815,19242519700,42,19.2425197,28,65.07365488,3.47571E+11,86.89263748,
BenchmarkHonestCase/input_size_16-8,1,30386941400,ns/op,705868864,B/op,11971590,allocs/op,,16,30386941400,30.3869414,27909562000,48,27.909562,32,89.5217266,4.90611E+11,122.652842,
BenchmarkHonestCase/input_size_18-8,1,39026119900,ns/op,976482480,B/op,16739480,allocs/op,,18,39026119900,39.0261199,38668671500,54,38.6686715,36,114.7906211,6.81079E+11,170.2698606,
BenchmarkHonestCase/input_size_20-8,1,51095128100,ns/op,1312865384,B/op,22673595,allocs/op,,20,51095128100,51.0951281,51894938600,60,51.8949386,40,147.5207541,8.89324E+11,222.3309275,
BenchmarkHonestCase/input_size_22-8,1,67357808600,ns/op,1723679936,B/op,29927361,allocs/op,,22,67357808600,67.3578086,67872335300,66,67.8723353,44,184.8686287,1.16171E+12,290.4268664,
BenchmarkHonestCase/input_size_24-8,1,85353524500,ns/op,2219577504,B/op,38662126,allocs/op,,24,85353524500,85.3535245,87511691500,72,87.5116915,48,225.9750943,1.45434E+12,363.5850316,
BenchmarkHonestCase/input_size_26-8,1,1.23262E+11,ns/op,2802528888,B/op,49028998,allocs/op,,26,1.23262E+11,123.2616506,1.10882E+11,78,110.8818903,52,280.2063994,1.81486E+12,453.7156629,
BenchmarkHonestCase/input_size_28-8,1,1.53327E+11,ns/op,3491566872,B/op,61190963,allocs/op,,28,1.53327E+11,153.3274775,1.50113E+11,84,150.1130392,56,342.5194672,2.04214E+12,510.5342572,
BenchmarkHonestCase/input_size_30-8,1,1.8912E+11,ns/op,4285495360,B/op,75312121,allocs/op,,30,1.8912E+11,189.1195757,1.64537E+11,90,164.5368485,60,411.5323811,2.001E+12,500.2496377,
BenchmarkHonestCase/input_size_32-8,1,2.02347E+11,ns/op,5210961432,B/op,91576510,allocs/op,,32,2.02347E+11,202.3467797,1.98499E+11,96,198.4986832,64,417.5626262,2.06036E+12,515.0888863,
BenchmarkHonestCase/input_size_34-8,1,2.64934E+11,ns/op,6259783728,B/op,110162525,allocs/op,,34,2.64934E+11,264.9343005,2.33603E+11,102,233.6031718,68,422.5160603,2.14828E+12,537.0706343,
BenchmarkHonestCase/input_size_36-8,1,2.94312E+11,ns/op,7463086040,B/op,131252548,allocs/op,,36,2.94312E+11,294.3118354,2.76544E+11,108,276.5440478,72,426.3352534,2.37348E+12,593.3709036,
BenchmarkHonestCase/input_size_38-8,1,3.45195E+11,ns/op,8808518576,B/op,155036063,allocs/op,,38,3.45195E+11,345.1947148,3.48896E+11,114,348.8958029,76,439.9168084,2.27063E+12,567.6569161,
BenchmarkHonestCase/input_size_40-8,1,3.85025E+11,ns/op,10332908744,B/op,181736393,allocs/op,,40,3.85025E+11,385.0249118,3.86334E+11,120,386.3343779,80,479.266734,2.54236E+12,635.5890032,
BenchmarkHonestCase/input_size_42-8,1,4.23784E+11,ns/op,12022614368,B/op,211588036,allocs/op,,42,4.23784E+11,423.7841817,4.47842E+11,126,447.8418705,84,498.8966402,2.96022E+12,740.0558962,
