Degree,Overall Time,Setup,Commit,PartialEval,Proof,Verify
2,25.4023,4.9888,5.3996,0.5707,1.8658,6.5071
4,51.2559,11.0472,21.1503,3.0186,3.1791,6.7544
6,75.3851,19.6326,32.0647,2.0033,6.5058,5.5046
8,118.8848,21.0308,65.3008,0.999,7.5173,6.5023
10,226.5667,28.0608,103.6646,3.9972,15.7521,19.5596
12,438.0683,112.1954,222.4369,12.1055,12.5596,8.2515
14,314.2229,42.0577,199.9609,3.0001,14.5891,4.5181
16,498.382,48.7183,278.6055,5.9987,17.0384,3.9961
18,671.0774,42.6483,414.1163,4.4884,24.1119,15.2188
20,926.6064,68.6066,451.1758,7.5214,26.565,15.1335
22,1150.0049,62.4787,603.9147,6.958,35.815,7.0004
24,1561.0115,91.6061,780.7742,5.52,24.7331,6.4689
26,1407.241,76.3923,671.7177,7.5528,29.166,4.5095
28,1946.741,76.0783,966.2761,8.4925,23.0496,5.0013
30,2157.7547,95.3464,952.9924,24.2629,50.685,6.4973
32,3272.9874,86.7832,1460.8987,10.5245,38.2331,4.5214
34,3870.4422,112.9124,1306.2924,25.2742,76.3372,13.3317
36,4177.2642,292.2795,1652.2825,11.4472,33.5806,4.9993
38,4748.8909,160.7343,1913.4491,9.5047,36.2006,6.1026
40,4845.8909,154.3297,1985.6796,31.7694,50.8785,6.0001
42,7020.3477,143.2581,2047.7269,21.2065,57.2184,7.9995
44,7419.2265,368.9442,2767.1549,37.8353,81.4514,4.5159
46,7795.5665,145.4717,2920.2082,12.1197,38.2318,7.5409
48,7284.9602,146.5633,2512.4893,17.2289,42.2286,4.5107
50,7525.0165,164.7554,2522.3021,20.3039,48.413,4.5943
52,8991.2062,178.9128,2721.6407,13.5082,40.5392,5.002
54,9877.6315,193.4253,2877.2939,21.0484,50.5678,4.9552
56,12624.1421,175.3282,4310.3946,21.0337,39.0486,3
58,13805.8546,159.2253,3617.2416,25.4235,52.2315,4.0004
60,14776.3768,210.7787,3899.7209,23.2339,61.0117,13.7465
62,17056.7037,416.9768,3923.7727,17.602,69.3034,4.0212
64,17674.7185,212.9456,3902.4783,32.7258,74.9968,6.0086
66,19679.4254,234.8375,4306.1118,39.3009,98.3558,6.1838
68,22883.9976,191.124,4381.6667,40.0866,56.5964,4.9987
70,27740.5996,261.892,5472.6581,29.2224,81.2542,3.9961
72,29396.1149,268.6049,5156.4496,23.5611,73.3399,5.533
74,32254.5166,229.5474,5509.4941,29.5941,71.5661,4.2863
76,34099.5988,243.2859,5640.1315,34.0423,91.6534,6.0059
78,40784.8417,286.9873,6344.8247,52.79,82.6752,5.5575
80,46216.4091,282.2252,6640.4871,36.4423,72.151,3.5268
82,51131.275,281.7855,6808.9521,34.2555,89.3013,4.9514
84,55698.115,253.1633,7589.769,35.2089,99.2925,4.023
86,60710.9726,307.2424,7617.6404,45.5884,71.8608,4.5148
88,81447.7253,342.7032,8634.5668,50.8002,92.8577,4.5081
90,77483.7585,312.9891,8105.7104,37.5718,78.9099,8.5022
92,83120.9038,320.5746,9014.4394,38.1135,75.7823,4.505
94,92537.7428,309.6464,9240.357,39.7074,66.9816,4.499
96,98497.4786,384.8694,9140.3117,48.6163,85.7923,6.3833
98,102887.2437,288.1946,8925.9949,34.7205,116.1949,3.9997
100,107440.9237,354.3866,9033.5165,48.7549,70.7805,4.5536
102,122282.1711,350.521,9352.611,49.6867,90.6992,4.624
104,149221.6512,386.7259,12188.1813,68.7581,94.7292,11.5719
106,174547.8197,487.8606,11961.9374,56.1404,95.0411,4.0204
108,188827.0591,456.2779,18783.1783,86.4158,142.035,8.4864
110,196590.5712,373.9435,16393.992,53.5422,86.7559,3.5361
112,186413.4128,390.5818,12227.0815,47.1415,99.4782,5.9853
114,199880.6449,580.1633,13999.4927,138.1779,74.7201,4.0005
116,226441.8595,403.3213,11178.781,120.733,89.7186,3.502
